==============================================================================
2. Extracting from V1 vertices determined by C2 [1-*] (458597)
==============================================================================
Dimension: 458597
The lowest value:                         0.0000
The highest value:                      768.0000

Highest values: 

      Rank    Vertex                       Value   Id
--------------------------------------------------------
       315      2183                     56.0000   FIGG_W(2006)26:759
       316       540                     56.0000   SMALL_H(1980)36:183
       317     16727                     56.0000   BORGMAN_C(1990):
       318      2035                     55.0000   PAGE_L(1999):
       319     29313                     55.0000   BUTLER_L(2006)66:327
       320     92889                     55.0000   GOODRUM_A(2001)37:661
       321    353827                     55.0000   BRESLAU_L(1999):126
       322     10758                     55.0000   BALDI_S(1998)63:829
       323       656                     55.0000   [ANONYMO(2007):
       324      5234                     55.0000   GRIFFITH_T(2004)101:5228
       325      5146                     55.0000   SCI2_T(2009):
       326     41142                     55.0000   ZAHEDI_Z(2014):
       327      4981                     55.0000   LEIMU_R(2005)20:28
       328      4820                     55.0000   KURMIS_A(2003)85A:2449
       329       488                     54.0000   LUNDVALL_B(1992):
       330     30475                     54.0000   HAGSTROM_W(1965):
       331     15051                     54.0000   MOED_H(2004):
       332     29611                     54.0000   BRAUN_T(1997)38:321
       333     14024                     54.0000   BROOKS_T(1986)37:34
       334       821                     54.0000   CHADEGAN_A(2013)9:18
       335    191611                     54.0000   ZIPF_G(1965):
       336      2481                     54.0000   HAUSTEIN_S(2014)56:207
       337      2438                     54.0000   DEBAKKER_F(2005)44:283
       338     37186                     54.0000   KLAVANS_R(2009)60:455
       339     36180                     54.0000   LEYDESDO_L(1997)48:418
       340      2081                     54.0000   HENNESSE_K(2009)3:293
       341      4018                     53.0000   WHITTAKE_J(1989)19:473
       342       491                     53.0000   MARSHAKO_I(1973):3
       343    118899                     53.0000   PARETO_V(1896):
       344    113297                     53.0000   ALBERT_R(1999)401:130
       345     27322                     53.0000   FALAGAS_M(2008)56:223
       346     10369                     53.0000   ENGQVIST_L(2008)23:250
       347     40335                     53.0000   THELWALL_M(2004):
       348      9809                     53.0000   BENSMAN_S(2007)41:93
       349     19350                     53.0000   FORTUNAT_S(2010)486:75
       350     17810                     53.0000   SALTON_G(1988)24:513
       351      8595                     53.0000   HOEKMAN_J(2010)39:662
       352     33134                     53.0000   THELWALL_M(2009):
       353       515                     53.0000   PORTER_M(1990):
       354      2020                     52.0000   CLARIVAT_A(2017):
       355     29157                     52.0000   ABBASI_A(2011)5:594
       356     13710                     52.0000   GLANZEL_W(1988)14:123
       357      1626                     52.0000   MARCH_J(1991)2:71
       358      3206                     52.0000   GARFIELD_E(2003)3:363
       359     22266                     52.0000   SCHVANEV_R(1990):
       360      5121                     52.0000   WANG_D(2013)342:127
       361    156783                     52.0000   GABAIX_X(2009)1:255
       362      4557                     52.0000   DING_Y(2009)60:2229
       363     33928                     52.0000   CHEN_C(1999)35:401
       364      3983                     51.0000   SPINAK_E(1996):
       365    122632                     51.0000   THELWALL_M(2002)53:995
       366     14028                     51.0000   CHUBIN_D(1975)5:423
       367     27092                     51.0000   BECHER_T(2001):
       368     52549                     51.0000   SEGLEN_P(1997)314:497
       369      1640                     51.0000   PORTER_M(1980):
       370      6126                     51.0000   CRANE_D(1969)34:335
       371     10402                     51.0000   MEHO_L(2007)20:32
       372      5176                     51.0000   BASTIAN_M(2009)8:361
       373      2167                     51.0000   CAMPBELL_F(1990)78:376
       374       522                     51.0000   POWELL_W(1996)41:116
       375       469                     50.0000   GRANOVET_M(1985)91:481
       376     56384                     50.0000   MILGRAM_S(1967)1:61
       377     52545                     50.0000   PRICE_D(1961):
       378     25205                     50.0000   EGGHE_L(2008)44:770
       379      6270                     50.0000   NEYLON_C(2009)7:1000242
       380      6189                     50.0000   GRONEBER_B(2009)4:16
       381     12253                     50.0000   BORNER_K(2010):
       382    351145                     50.0000   GABAIX_X(2004)4:2341
       383     43503                     50.0000   COLE_J(1972)178:368
       384     20604                     50.0000   LATOUR_B(1979):
       385    291365                     50.0000   KRUGMAN_P(1996)10:399
       386     36208                     50.0000   LEYDESDO_L(2006)57:601
       387     18039                     50.0000   GARFIELD_E(2003)54:400
       388     30671                     49.0000   ARCHAMBA_E(2004):
       389      1815                     49.0000   BORNMANN_L(2011)5:228
       390    113349                     49.0000   LOTKA_A(1925):
       391     14042                     49.0000   MERTON_R(1957)22:635
